"PeopleInHousehold","Region","State","MetroAreaCode","Age","Married","Sex","Education","Race","Hispanic","CountryOfBirthCode","Citizenship","EmploymentStatus","Industry"
2,"West","California",41740,49,"Divorced","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Construction"
2,"West","California",41740,18,"Never Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Unemployed",NA
5,"West","California",31100,46,"Divorced","Female","Some college, no degree","White",1,57,"Citizen, Native","Employed","Trade"
5,"West","California",31100,10,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
5,"West","California",31100,13,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
5,"West","California",31100,15,"Never Married","Female","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
5,"West","California",31100,16,"Never Married","Male","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
3,"West","California",40140,49,"Separated","Male","No high school diploma","White",1,303,"Citizen, Naturalized","Employed","Construction"
3,"West","California",40140,16,"Never Married","Female","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
3,"West","California",40140,17,"Never Married","Female","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
3,"West","California",41860,27,"Married","Male","Bachelor's degree","Black",0,57,"Citizen, Native","Employed","Trade"
3,"West","California",41860,28,"Married","Female","Master's degree","Asian",0,210,"Citizen, Naturalized","Employed","Educational and health services"
3,"West","California",41860,1,NA,"Male",NA,"Multiracial",0,57,"Citizen, Native",NA,NA
1,"West","California",41860,64,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Disabled",NA
3,"West","California",40900,62,"Married","Male","Master's degree","White",0,57,"Citizen, Native","Employed","Public administration"
3,"West","California",40900,62,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Public administration"
3,"West","California",40900,23,"Never Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"West","California",41740,69,"Married","Male","High school","White",0,57,"Citizen, Native","Retired",NA
2,"West","California",41740,65,"Married","Female","No high school diploma","White",1,303,"Non-Citizen","Retired",NA
2,"West","California",40140,62,"Divorced","Male","No high school diploma","Black",0,57,"Citizen, Native","Retired",NA
2,"West","California",40140,22,"Never Married","Female","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Trade"
4,"West","California",31100,63,"Divorced","Female","High school","Asian",0,247,"Citizen, Naturalized","Retired",NA
4,"West","California",31100,19,"Never Married","Female","High school","Asian",0,247,"Citizen, Naturalized","Employed","Manufacturing"
4,"West","California",31100,21,"Never Married","Male","Some college, no degree","Asian",0,247,"Citizen, Naturalized","Employed","Trade"
4,"West","California",31100,46,"Divorced","Female","High school","Asian",0,247,"Citizen, Naturalized","Employed","Other services"
5,"West","California",31100,37,"Married","Female","No high school diploma","White",1,303,"Non-Citizen","Employed","Leisure and hospitality"
5,"West","California",31100,35,"Married","Male","High school","White",1,314,"Non-Citizen","Employed","Professional and business services"
5,"West","California",31100,5,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
5,"West","California",31100,15,"Never Married","Male","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
5,"West","California",31100,20,"Never Married","Male","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",31100,76,"Never Married","Female","High school","White",1,303,"Citizen, Naturalized","Employed","Transportation and utilities"
2,"West","California",31100,6,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
1,"West","California",31100,32,"Never Married","Female","High school","White",1,57,"Citizen, Native","Not in Labor Force",NA
1,"West","California",31100,80,"Widowed","Male","Some college, no degree","White",0,57,"Citizen, Native","Retired",NA
4,"West","California",31100,46,"Married","Female","Professional degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
4,"West","California",31100,50,"Married","Male","Professional degree","White",1,57,"Citizen, Native","Employed","Other services"
4,"West","California",31100,9,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
4,"West","California",31100,13,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
4,"West","California",31100,53,"Married","Male","Master's degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
4,"West","California",31100,57,"Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Other services"
4,"West","California",31100,16,"Never Married","Female","No high school diploma","White",0,57,"Citizen, Native","Not in Labor Force",NA
4,"West","California",31100,18,"Never Married","Male","High school","White",1,57,"Citizen, Native","Not in Labor Force",NA
1,"West","California",31100,62,"Divorced","Female","No high school diploma","Asian",0,247,"Citizen, Naturalized","Retired",NA
1,"West","California",41740,51,"Divorced","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Transportation and utilities"
3,"West","California",41860,30,"Divorced","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
3,"West","California",41860,7,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
3,"West","California",41860,31,"Divorced","Male","Associate degree","White",1,57,"Citizen, Native","Employed","Manufacturing"
2,"West","California",31100,66,"Married","Female","Associate degree","White",0,301,"Non-Citizen","Retired",NA
2,"West","California",31100,74,"Married","Male","Associate degree","White",0,126,"Non-Citizen","Employed","Manufacturing"
4,"West","California",41740,62,"Married","Male","Associate degree","Asian",0,247,"Citizen, Naturalized","Employed","Transportation and utilities"
4,"West","California",41740,42,"Married","Female","High school","Asian",0,247,"Non-Citizen","Not in Labor Force",NA
4,"West","California",41740,2,NA,"Female",NA,"Asian",0,57,"Citizen, Native",NA,NA
4,"West","California",41740,26,"Never Married","Male","High school","Asian",0,57,"Citizen, Native","Employed","Leisure and hospitality"
1,"West","California",41860,48,"Never Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Unemployed","Professional and business services"
2,"West","California",31100,69,"Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",31100,70,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",40140,48,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"West","California",40140,0,NA,"Female",NA,"White",0,57,"Citizen, Native",NA,NA
4,"West","California",41860,42,"Married","Male","Associate degree","White",0,57,"Citizen, Native","Employed","Transportation and utilities"
4,"West","California",41860,42,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
4,"West","California",41860,9,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
4,"West","California",41860,11,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
1,"West","California",40140,18,"Never Married","Female","High school","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
5,"West","California",40900,46,"Married","Female","Master's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
5,"West","California",40900,46,"Married","Male","High school","White",0,57,"Citizen, Native","Employed","Financial"
5,"West","California",40900,11,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"West","California",40900,15,"Never Married","Female","No high school diploma","White",0,57,"Citizen, Native","Not in Labor Force",NA
5,"West","California",40900,15,"Never Married","Female","No high school diploma","White",0,57,"Citizen, Native","Not in Labor Force",NA
1,"West","California",23420,54,"Never Married","Male","High school","White",1,57,"Citizen, Native","Employed","Agriculture, forestry, fishing, and hunting"
2,"West","California",31100,30,"Divorced","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Construction"
2,"West","California",31100,18,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
4,"West","California",40900,30,"Married","Male","Associate degree","White",0,57,"Citizen, Native","Employed","Manufacturing"
4,"West","California",40900,25,"Married","Female","High school","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
4,"West","California",40900,2,NA,"Female",NA,"White",0,57,"Citizen, Native",NA,NA
4,"West","California",40900,6,NA,"Female",NA,"White",0,57,"Citizen, Native",NA,NA
4,"West","California",40140,23,"Married","Female","Some college, no degree","White",1,57,"Citizen, Native","Employed","Educational and health services"
4,"West","California",40140,26,"Married","Male","Some college, no degree","White",1,303,"Non-Citizen","Employed","Manufacturing"
4,"West","California",40140,3,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
4,"West","California",40140,5,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
1,"West","California",40140,71,"Never Married","Female","Associate degree","White",0,57,"Citizen, Native","Retired",NA
2,"West","California",31100,70,"Married","Female","Associate degree","White",0,57,"Citizen, Native","Retired",NA
2,"West","California",31100,70,"Married","Male","Associate degree","White",0,57,"Citizen, Native","Retired",NA
7,"West","California",40140,45,"Divorced","Male","No high school diploma","White",1,57,"Citizen, Native","Disabled",NA
7,"West","California",40140,1,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
7,"West","California",40140,5,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
7,"West","California",40140,6,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
7,"West","California",40140,8,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
7,"West","California",40140,15,"Never Married","Male","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
7,"West","California",40140,18,"Never Married","Female","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",41860,76,"Married","Female","No high school diploma","White",0,301,"Citizen, Naturalized","Retired",NA
2,"West","California",41860,80,"Married","Male","No high school diploma","White",0,120,"Citizen, Naturalized","Retired",NA
2,"West","California",41740,72,"Married","Male","Bachelor's degree","White",0,110,"Citizen, Naturalized","Retired",NA
2,"West","California",41740,70,"Married","Female","Bachelor's degree","White",0,110,"Non-Citizen","Retired",NA
4,"West","California",31100,59,"Married","Male","Professional degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
4,"West","California",31100,53,"Married","Female","Bachelor's degree","Asian",0,233,"Citizen, Naturalized","Employed","Manufacturing"
4,"West","California",31100,19,"Never Married","Female","Some college, no degree","Multiracial",0,57,"Citizen, Native","Not in Labor Force",NA
4,"West","California",31100,22,"Never Married","Female","Some college, no degree","Multiracial",0,57,"Citizen, Native","Employed","Professional and business services"
3,"West","California",41740,59,"Divorced","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
3,"West","California",41740,17,"Never Married","Male","No high school diploma","Multiracial",0,57,"Citizen, Native","Unemployed","Professional and business services"
3,"West","California",41740,61,"Widowed","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Construction"
4,"West","California",41740,35,"Separated","Female","High school","White",1,57,"Citizen, Native","Employed","Professional and business services"
4,"West","California",41740,13,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
4,"West","California",41740,13,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
4,"West","California",41740,14,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
3,"West","California",41740,50,"Married","Male","Some college, no degree","Black",1,57,"Citizen, Native","Employed","Professional and business services"
3,"West","California",41740,53,"Married","Female","High school","Black",1,57,"Citizen, Native","Employed","Educational and health services"
3,"West","California",41740,30,"Never Married","Male","High school","Black",1,57,"Citizen, Native","Employed","Professional and business services"
2,"West","California",41740,45,"Married","Female","Bachelor's degree","Black",0,57,"Citizen, Native","Disabled",NA
2,"West","California",41740,48,"Married","Male","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Transportation and utilities"
2,"West","California",31100,55,"Married","Female","No high school diploma","White",0,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",31100,54,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
1,"West","California",31100,76,"Never Married","Male","Bachelor's degree","Asian",0,247,"Citizen, Naturalized","Retired",NA
5,"West","California",41860,42,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Trade"
5,"West","California",41860,41,"Married","Female","Master's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
5,"West","California",41860,3,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"West","California",41860,5,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"West","California",41860,12,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"West","California",40140,38,"Never Married","Male","High school","White",0,57,"Citizen, Native","Unemployed","Professional and business services"
5,"West","California",40140,19,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Other services"
5,"West","California",40140,65,"Widowed","Female","Some college, no degree","White",0,57,"Citizen, Native","Disabled",NA
5,"West","California",40140,36,"Never Married","Male","High school","White",0,57,"Citizen, Native","Unemployed","Leisure and hospitality"
5,"West","California",40140,19,"Never Married","Female","High school","White",0,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",31100,57,"Married","Male","Bachelor's degree","White",1,303,"Citizen, Naturalized","Employed","Educational and health services"
2,"West","California",31100,58,"Married","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
1,"West","California",31100,44,"Divorced","Male","Bachelor's degree","Asian",0,247,"Citizen, Naturalized","Employed","Professional and business services"
2,"West","California",41860,42,"Married","Male","Doctorate degree","White",0,120,"Citizen, Naturalized","Employed","Trade"
2,"West","California",41860,29,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",41740,63,"Married","Male","Professional degree","White",0,57,"Citizen, Native","Retired",NA
2,"West","California",41740,53,"Married","Female","Master's degree","White",0,57,"Citizen, Native","Retired",NA
2,"West","California",40900,60,"Married","Male","Associate degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"West","California",40900,50,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
2,"West","California",31100,42,"Separated","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
2,"West","California",31100,21,"Never Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Unemployed",NA
1,"West","California",41500,55,"Divorced","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Financial"
1,"West","California",40900,51,"Divorced","Female","Bachelor's degree","Asian",0,57,"Citizen, Native","Employed","Professional and business services"
2,"West","California",41740,69,"Married","Female","High school","White",0,57,"Citizen, Native","Employed","Financial"
2,"West","California",41740,63,"Married","Male","Associate degree","White",0,57,"Citizen, Native","Employed","Financial"
2,"West","California",41740,55,"Married","Male","Associate degree","White",0,57,"Citizen, Native","Employed","Manufacturing"
2,"West","California",41740,53,"Married","Female","High school","American Indian",0,57,"Citizen, Native","Employed","Manufacturing"
2,"West","California",41860,69,"Married","Female","High school","White",0,57,"Citizen, Native","Retired",NA
2,"West","California",41860,70,"Married","Male","No high school diploma","White",0,57,"Citizen, Native","Retired",NA
2,"West","California",40140,55,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"West","California",40140,51,"Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Public administration"
8,"West","California",31100,23,"Never Married","Female","No high school diploma","White",1,303,"Citizen, Naturalized","Not in Labor Force",NA
8,"West","California",31100,44,"Married","Male","No high school diploma","White",1,303,"Non-Citizen","Employed","Leisure and hospitality"
8,"West","California",31100,44,"Married","Female","No high school diploma","White",1,303,"Non-Citizen","Employed","Financial"
8,"West","California",31100,12,NA,"Female",NA,"White",1,303,"Non-Citizen",NA,NA
8,"West","California",31100,21,"Never Married","Male","No high school diploma","White",1,303,"Non-Citizen","Not in Labor Force",NA
8,"West","California",31100,9,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
8,"West","California",31100,31,"Married","Female","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
8,"West","California",31100,31,"Married","Male","No high school diploma","White",1,57,"Citizen, Native","Employed","Leisure and hospitality"
4,"West","California",41860,44,"Married","Male","High school","White",0,57,"Citizen, Native","Employed","Manufacturing"
4,"West","California",41860,43,"Married","Female","High school","White",0,57,"Citizen, Native","Employed","Information"
4,"West","California",41860,15,"Never Married","Male","No high school diploma","White",0,57,"Citizen, Native","Not in Labor Force",NA
4,"West","California",41860,22,"Never Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Trade"
1,"West","California",42220,65,"Widowed","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Trade"
1,"West","California",40140,49,"Divorced","Female","Bachelor's degree","Asian",0,233,"Citizen, Naturalized","Employed","Manufacturing"
2,"West","California",41860,79,"Divorced","Female","Bachelor's degree","Asian",0,57,"Citizen, Native","Employed","Trade"
2,"West","California",41860,24,"Never Married","Male","High school","Asian",0,57,"Citizen, Native","Employed","Construction"
3,"West","California",41860,26,"Never Married","Female","Some college, no degree","Black",0,57,"Citizen, Native","Unemployed","Trade"
3,"West","California",41860,4,NA,"Female",NA,"Black",0,57,"Citizen, Native",NA,NA
3,"West","California",41860,7,NA,"Male",NA,"Black",0,57,"Citizen, Native",NA,NA
2,"West","California",31100,63,"Widowed","Female","No high school diploma","White",1,303,"Non-Citizen","Disabled",NA
2,"West","California",31100,21,"Never Married","Female","Some college, no degree","White",1,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",33700,49,"Married","Male","High school","White",0,130,"Citizen, Naturalized","Employed","Manufacturing"
2,"West","California",33700,47,"Married","Female","High school","White",0,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",31100,67,"Married","Male","No high school diploma","White",1,303,"Citizen, Naturalized","Retired",NA
2,"West","California",31100,62,"Married","Female","Some college, no degree","White",1,57,"Citizen, Native","Retired",NA
1,"West","California",31100,35,"Never Married","Female","Bachelor's degree","Asian",0,57,"Citizen, Native","Employed","Educational and health services"
1,"West","California",31100,51,"Never Married","Male","High school","White",1,57,"Citizen, Native","Employed","Educational and health services"
1,"West","California",31100,72,"Widowed","Female","High school","White",1,57,"Citizen, Native","Retired",NA
2,"West","California",31100,42,"Married","Male","Bachelor's degree","Asian",0,210,"Citizen, Naturalized","Employed","Trade"
2,"West","California",31100,39,"Married","Female","Bachelor's degree","Asian",0,233,"Citizen, Naturalized","Employed","Trade"
2,"West","California",41740,42,"Never Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"West","California",41740,40,"Never Married","Female","High school","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"West","California",41860,56,"Divorced","Male","Master's degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
2,"West","California",41860,16,"Never Married","Male","No high school diploma","White",0,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",46700,69,"Widowed","Female","No high school diploma","White",1,315,"Non-Citizen","Retired",NA
2,"West","California",46700,49,"Divorced","Female","Some college, no degree","White",1,315,"Citizen, Naturalized","Employed","Professional and business services"
2,"West","California",40900,29,"Never Married","Female","No high school diploma","White",1,57,"Citizen, Native","Employed","Trade"
2,"West","California",40900,9,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
3,"West","California",40900,32,"Married","Female","No high school diploma","Black",0,57,"Citizen, Native","Employed","Educational and health services"
3,"West","California",40900,61,"Married","Male","High school","Black",0,57,"Citizen, Native","Employed","Educational and health services"
3,"West","California",40900,32,"Never Married","Female","High school","Black",0,57,"Citizen, Native","Not in Labor Force",NA
1,"West","California",40140,25,"Never Married","Female","Associate degree","White",0,57,"Citizen, Native","Employed","Construction"
3,"West","California",31100,26,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Financial"
3,"West","California",31100,28,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
3,"West","California",31100,1,NA,"Female",NA,"White",0,57,"Citizen, Native",NA,NA
6,"West","California",40140,36,"Divorced","Female","No high school diploma","White",1,303,"Non-Citizen","Not in Labor Force",NA
6,"West","California",40140,4,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
6,"West","California",40140,6,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
6,"West","California",40140,7,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
6,"West","California",40140,9,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
6,"West","California",40140,34,"Never Married","Male","No high school diploma","White",1,303,"Non-Citizen","Employed","Professional and business services"
4,"West","California",40140,46,"Married","Male","Some college, no degree","White",1,303,"Citizen, Naturalized","Unemployed","Construction"
4,"West","California",40140,43,"Married","Female","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
4,"West","California",40140,11,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
4,"West","California",40140,18,"Never Married","Male","Some college, no degree","White",1,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",40140,61,"Married","Male","High school","White",0,57,"Citizen, Native","Employed","Construction"
2,"West","California",40140,61,"Married","Female","High school","White",0,57,"Citizen, Native","Employed","Educational and health services"
4,"West","California",31100,45,"Married","Female","High school","White",1,303,"Citizen, Naturalized","Employed","Trade"
4,"West","California",31100,50,"Married","Male","High school","White",1,303,"Citizen, Naturalized","Employed","Trade"
4,"West","California",31100,11,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
4,"West","California",31100,17,"Never Married","Female","No high school diploma","White",1,57,"Citizen, Native","Not in Labor Force",NA
1,"West","California",31100,85,"Widowed","Male","Some college, no degree","White",1,57,"Citizen, Native","Disabled",NA
6,"West","California",41860,53,"Married","Male","Some college, no degree","White",1,57,"Citizen, Native","Disabled",NA
6,"West","California",41860,49,"Married","Female","High school","White",1,303,"Non-Citizen","Employed","Transportation and utilities"
6,"West","California",41860,10,NA,"Male",NA,"White",1,303,"Non-Citizen",NA,NA
6,"West","California",41860,11,NA,"Female",NA,"White",1,303,"Non-Citizen",NA,NA
6,"West","California",41860,18,"Never Married","Female","High school","White",1,303,"Non-Citizen","Not in Labor Force",NA
6,"West","California",41860,19,"Never Married","Female","Some college, no degree","White",1,303,"Non-Citizen","Not in Labor Force",NA
1,"West","California",31100,60,"Divorced","Female","Bachelor's degree","Asian",0,217,"Citizen, Naturalized","Employed","Trade"
1,"West","California",41740,54,"Separated","Female","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Professional and business services"
3,"West","California",23420,61,"Married","Male","No high school diploma","White",1,303,"Citizen, Naturalized","Employed","Agriculture, forestry, fishing, and hunting"
3,"West","California",23420,59,"Married","Female","No high school diploma","White",1,303,"Non-Citizen","Not in Labor Force",NA
3,"West","California",23420,27,"Never Married","Male","Some college, no degree","White",1,57,"Citizen, Native","Not in Labor Force",NA
2,"West","California",23420,66,"Married","Female","Associate degree","White",0,57,"Citizen, Native","Retired",NA
2,"West","California",23420,72,"Married","Male","High school","White",1,303,"Citizen, Naturalized","Retired",NA
2,"West","California",12540,61,"Married","Female","High school","White",0,57,"Citizen, Native","Retired",NA
2,"West","California",12540,59,"Married","Male","Associate degree","White",0,57,"Citizen, Native","Employed","Public administration"
3,"West","California",33700,55,"Married","Female","Doctorate degree","White",0,57,"Citizen, Native","Employed","Other services"
3,"West","California",33700,58,"Married","Male","Doctorate degree","White",1,57,"Citizen, Native","Employed","Educational and health services"
3,"West","California",33700,11,NA,"Female",NA,"White",1,57,"Citizen, Native",NA,NA
4,"West","California",33700,42,"Married","Female","Bachelor's degree","White",0,212,"Citizen, Naturalized","Employed","Manufacturing"
4,"West","California",33700,45,"Married","Male","Bachelor's degree","White",0,212,"Citizen, Naturalized","Employed","Manufacturing"
4,"West","California",33700,14,NA,"Female",NA,"White",0,57,"Citizen, Native",NA,NA
4,"West","California",33700,17,"Never Married","Male","No high school diploma","White",0,57,"Citizen, Native","Not in Labor Force",NA
5,"West","California",31100,37,"Married","Female","Associate degree","Black",0,57,"Citizen, Native","Employed","Educational and health services"
5,"West","California",31100,38,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
5,"West","California",31100,6,NA,"Female",NA,"Multiracial",0,57,"Citizen, Native",NA,NA
5,"West","California",31100,6,NA,"Female",NA,"Multiracial",0,57,"Citizen, Native",NA,NA
5,"West","California",31100,9,NA,"Female",NA,"Multiracial",0,57,"Citizen, Native",NA,NA
3,"West","California",40140,29,"Married","Female","Some college, no degree","Black",1,57,"Citizen, Native","Not in Labor Force",NA
3,"West","California",40140,31,"Married","Male","No high school diploma","White",1,313,"Non-Citizen","Employed","Trade"
3,"West","California",40140,4,NA,"Male",NA,"Black",1,57,"Citizen, Native",NA,NA
1,"West","California",31100,59,"Never Married","Male","No high school diploma","White",1,303,"Non-Citizen","Employed","Construction"
2,"West","California",41860,60,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
2,"West","California",41860,64,"Married","Female","Some college, no degree","Black",0,57,"Citizen, Native","Employed","Leisure and hospitality"
1,"West","California",41860,54,"Never Married","Female","Doctorate degree","White",0,57,"Citizen, Native","Employed","Educational and health services"
5,"West","California",41740,42,"Married","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Trade"
5,"West","California",41740,44,"Married","Male","Some college, no degree","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
5,"West","California",41740,7,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"West","California",41740,13,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"West","California",41740,14,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
2,"West","California",41740,53,"Divorced","Female","Some college, no degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
2,"West","California",41740,61,"Divorced","Female","Some college, no degree","White",0,57,"Citizen, Native","Disabled",NA
3,"West","California",40900,52,"Married","Female","High school","White",0,57,"Citizen, Native","Employed","Leisure and hospitality"
3,"West","California",40900,56,"Married","Male","High school","White",0,57,"Citizen, Native","Employed","Manufacturing"
3,"West","California",40900,33,"Never Married","Male","High school","White",0,57,"Citizen, Native","Unemployed","Manufacturing"
1,"West","California",31100,69,"Never Married","Male","High school","White",1,303,"Citizen, Naturalized","Retired",NA
2,"West","California",31100,66,"Married","Male","Doctorate degree","Asian",0,240,"Non-Citizen","Retired",NA
2,"West","California",31100,61,"Married","Female","Master's degree","Asian",0,240,"Non-Citizen","Employed","Financial"
5,"West","California",31100,67,"Divorced","Female","High school","White",1,303,"Citizen, Naturalized","Retired",NA
5,"West","California",31100,8,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
5,"West","California",31100,11,NA,"Male",NA,"White",1,57,"Citizen, Native",NA,NA
5,"West","California",31100,27,"Never Married","Female","High school","White",1,57,"Citizen, Native","Employed","Professional and business services"
5,"West","California",31100,46,"Divorced","Female","No high school diploma","White",1,57,"Citizen, Native","Unemployed","Transportation and utilities"
4,"West","California",31100,41,"Married","Male","Bachelor's degree","Asian",0,210,"Non-Citizen","Employed","Professional and business services"
4,"West","California",31100,41,"Married","Female","Bachelor's degree","Asian",0,210,"Non-Citizen","Not in Labor Force",NA
4,"West","California",31100,8,NA,"Male",NA,"Asian",0,57,"Citizen, Native",NA,NA
4,"West","California",31100,13,NA,"Male",NA,"Asian",0,210,"Non-Citizen",NA,NA
5,"West","California",31100,37,"Married","Female","Bachelor's degree","White",0,139,"Non-Citizen","Not in Labor Force",NA
5,"West","California",31100,41,"Married","Male","Bachelor's degree","White",0,57,"Citizen, Native","Employed","Professional and business services"
5,"West","California",31100,4,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"West","California",31100,8,NA,"Male",NA,"White",0,57,"Citizen, Native",NA,NA
5,"West","California",31100,10,NA,"Female",NA,"White",0,57,"Citizen, Native",NA,NA
4,"West","California",31100,35,"Never Married","Female","Master's degree","White",1,303,"Citizen, Naturalized","Employed","Educational and health services"
4,"West","California",31100,76,"Married","Female","No high school diploma","White",1,303,"Non-Citizen","Retired",NA
4,"West","California",31100,79,"Married","Male","No high school diploma","White",1,303,"Citizen, Naturalized","Retired",NA
4,"West","California",31100,35,"Never Married","Female","Master's degree","White",1,303,"Citizen, Naturalized","Employed","Educational and health services"
